PerformanceToSalary,MonthlyIncome,EngagementScore,Age,OverTime,DistanceFromHome,ExperiencePerformance,TotalWorkingYears,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,PromotionGapRatio,JobRole,StockOptionLevel,YearsWithCurrManager,Attrition
0.0005005005005005005,5993,2.5,41,1,1,24,8,6,8,11,0.0,7,0,5.0,1
0.0007795751315533034,5130,2.75,49,0,8,40,10,10,1,23,0.09090909090909091,6,1,7.0,0
0.0014347202295552368,2090,2.75,37,1,2,21,7,0,6,15,0.0,2,0,0.0,1
0.0010309278350515464,2909,3.25,33,1,3,24,8,8,1,11,0.3333333333333333,6,0,0.0,0
0.0008648025367541078,3468,2.5,27,0,2,18,6,2,9,12,0.2857142857142857,2,1,2.0,0
0.0009775171065493646,3068,3.5,32,0,2,24,8,7,0,13,0.3333333333333333,2,0,6.0,0
0.001497566454511419,2670,2.25,59,1,3,48,12,1,4,20,0.0,2,3,0.0,0
0.0014847809948032665,2693,3.0,30,0,24,4,1,1,1,22,0.0,2,1,0.0,0
0.00041985934711871525,9526,2.75,38,0,23,40,10,9,0,21,0.09090909090909091,4,0,8.0,0
0.000572737686139748,5237,2.75,36,0,27,51,17,7,6,13,0.3888888888888889,0,2,7.0,0
0.0012360939431396785,2426,2.5,35,0,16,18,6,5,0,13,0.0,2,1,3.0,0
0.000715307582260372,4193,3.25,29,1,15,30,10,9,0,12,0.0,2,0,8.0,0
0.0010302197802197802,2911,2.75,31,0,26,15,5,5,1,17,0.6666666666666666,6,1,3.0,0
0.0011269722013523666,2661,3.0,34,0,19,9,3,2,0,11,0.25,2,1,2.0,0
0.0014785608674223755,2028,2.5,28,1,24,18,6,4,5,14,0.0,2,0,3.0,1
0.00030057108506161706,9980,2.5,29,0,21,30,10,10,1,11,0.7272727272727273,4,1,8.0,0
0.0009093664746892998,3298,2.75,32,1,5,21,7,6,0,12,0.0,6,2,5.0,0
0.0010217983651226157,2935,3.5,22,1,16,3,1,1,1,13,0.0,2,2,0.0,0
0.0001944516463572725,15427,2.5,53,0,2,93,31,25,2,16,0.09375,3,0,7.0,0
0.0007604562737642585,3944,3.5,38,1,2,18,6,3,5,11,0.14285714285714285,6,0,2.0,0
